
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

      103    39.0000000000        19.5000000000        0.00000000000    
      104    39.0000000000        22.2857142900        0.00000000000    
      105    39.0000000000        25.0714285700        0.00000000000    
      106    39.0000000000        27.8571428600        0.00000000000    
      107    39.0000000000        30.6428571400        0.00000000000    
      108    39.0000000000        33.4285714300        0.00000000000    
      109    39.0000000000        36.2142857100        0.00000000000    
      110    9.19238815500       -9.19238815500        0.00000000000    
      111    10.8113916100       -7.21898964700        0.00000000000    
      112    12.0135824000       -4.96727671100        0.00000000000    
      113    12.7526123500       -2.52405986100        0.00000000000    
      114    39.0000000000       -39.0000000000        0.00000000000    
      115    11.1795622800       -11.1795622800        0.00000000000    
      116    13.1667364000       -13.1667364000        0.00000000000    
      117    15.1539105200       -15.1539105200        0.00000000000    
      118    17.1410846500       -17.1410846500        0.00000000000    
      119    19.1282587700       -19.1282587700        0.00000000000    
      120    21.1154328900       -21.1154328900        0.00000000000    

   NODE        X                   Y                   Z
      121    23.1026070200       -23.1026070200        0.00000000000    
      122    25.0897811400       -25.0897811400        0.00000000000    
      123    27.0769552600       -27.0769552600        0.00000000000    
      124    29.0641293900       -29.0641293900        0.00000000000    
      125    31.0513035100       -31.0513035100        0.00000000000    
      126    33.0384776300       -33.0384776300        0.00000000000    
      127    35.0256517500       -35.0256517500        0.00000000000    
      128    37.0128258800       -37.0128258800        0.00000000000    
      129    39.0000000000       -36.2142857100        0.00000000000    
      130    39.0000000000       -33.4285714300        0.00000000000    
      131    39.0000000000       -30.6428571400        0.00000000000    
      132    39.0000000000       -27.8571428600        0.00000000000    
      133    39.0000000000       -25.0714285700        0.00000000000    
      134    39.0000000000       -22.2857142900        0.00000000000    
      135    39.0000000000       -19.5000000000        0.00000000000    
      136    39.0000000000       -16.7142857100        0.00000000000    
      137    39.0000000000       -13.9285714300        0.00000000000    
      138    39.0000000000       -11.1428571400        0.00000000000    
      139    39.0000000000       -8.35714285700        0.00000000000    
      140    39.0000000000       -5.57142857100        0.00000000000    

   NODE        X                   Y                   Z
      141    39.0000000000       -2.78571428600        0.00000000000    
      142   0.462592926900E-14   -13.0000000000        0.00000000000    
      143    2.54021178600       -12.7494048500        0.00000000000    
      144    4.98249053500       -12.0072806300        0.00000000000    
      145    7.23267882900       -10.8022385200        0.00000000000    
      146   0.693889390400E-14   -39.0000000000        0.00000000000    
      147   0.282695677600E-14   -15.8888888900        0.00000000000    
      148   0.334094891700E-14   -18.7777777800        0.00000000000    
      149   0.385494105800E-14   -21.6666666700        0.00000000000    
      150   0.436893319900E-14   -24.5555555600        0.00000000000    
      151   0.488292534000E-14   -27.4444444400        0.00000000000    
      152   0.539691748100E-14   -30.3333333300        0.00000000000    
      153   0.591090962200E-14   -33.2222222200        0.00000000000    
      154   0.642490176300E-14   -36.1111111100        0.00000000000    
      155    2.78571428600       -39.0000000000        0.00000000000    
      156    5.57142857100       -39.0000000000        0.00000000000    
      157    8.35714285700       -39.0000000000        0.00000000000    
      158    11.1428571400       -39.0000000000        0.00000000000    
      159    13.9285714300       -39.0000000000        0.00000000000    
      160    16.7142857100       -39.0000000000        0.00000000000    

   NODE        X                   Y                   Z
      161    19.5000000000       -39.0000000000        0.00000000000    
      162    22.2857142900       -39.0000000000        0.00000000000    
      163    25.0714285700       -39.0000000000        0.00000000000    
      164    27.8571428600       -39.0000000000        0.00000000000    
      165    30.6428571400       -39.0000000000        0.00000000000    
      166    33.4285714300       -39.0000000000        0.00000000000    
      167    36.2142857100       -39.0000000000        0.00000000000    
      168   -9.19238815500        9.19238815500        0.00000000000    
      169   -2.54021178600        12.7494048500        0.00000000000    
      170   -4.98249053500        12.0072806300        0.00000000000    
      171   -7.23267882900        10.8022385200        0.00000000000    
      172   -39.0000000000        39.0000000000        0.00000000000    
      173   -2.78571428600        39.0000000000        0.00000000000    
      174   -5.57142857100        39.0000000000        0.00000000000    
      175   -8.35714285700        39.0000000000        0.00000000000    
      176   -11.1428571400        39.0000000000        0.00000000000    
      177   -13.9285714300        39.0000000000        0.00000000000    
      178   -16.7142857100        39.0000000000        0.00000000000    
      179   -19.5000000000        39.0000000000        0.00000000000    
      180   -22.2857142900        39.0000000000        0.00000000000    

   NODE        X                   Y                   Z
      181   -25.0714285700        39.0000000000        0.00000000000    
      182   -27.8571428600        39.0000000000        0.00000000000    
      183   -30.6428571400        39.0000000000        0.00000000000    
      184   -33.4285714300        39.0000000000        0.00000000000    
      185   -36.2142857100        39.0000000000        0.00000000000    
      186   -11.1795622800        11.1795622800        0.00000000000    
      187   -13.1667364000        13.1667364000        0.00000000000    
      188   -15.1539105200        15.1539105200        0.00000000000    
      189   -17.1410846500        17.1410846500        0.00000000000    
      190   -19.1282587700        19.1282587700        0.00000000000    
      191   -21.1154328900        21.1154328900        0.00000000000    
      192   -23.1026070200        23.1026070200        0.00000000000    
      193   -25.0897811400        25.0897811400        0.00000000000    
      194   -27.0769552600        27.0769552600        0.00000000000    
      195   -29.0641293900        29.0641293900        0.00000000000    
      196   -31.0513035100        31.0513035100        0.00000000000    
      197   -33.0384776300        33.0384776300        0.00000000000    
      198   -35.0256517500        35.0256517500        0.00000000000    
      199   -37.0128258800        37.0128258800        0.00000000000    
      200   -13.0000000000        0.00000000000        0.00000000000    

   NODE        X                   Y                   Z
      201   -10.8113916100        7.21898964700        0.00000000000    
      202   -12.0135824000        4.96727671100        0.00000000000    
      203   -12.7526123500        2.52405986100        0.00000000000    
      204   -39.0000000000        0.00000000000        0.00000000000    
      205   -39.0000000000        36.2142857100        0.00000000000    
      206   -39.0000000000        33.4285714300        0.00000000000    
      207   -39.0000000000        30.6428571400        0.00000000000    
      208   -39.0000000000        27.8571428600        0.00000000000    
      209   -39.0000000000        25.0714285700        0.00000000000    
